Benchmark Problem,Paradigm,Precision,Hardware,Executable,Region,Kernel ID,Kernel,Kernel Signature,Duration [s],Memory Level,FLOP [FLOP],Memory Traffic [Byte],Arithmetic Intensity [FLOP/Byte],Performance [FLOP/s],Peak Performance [FLOP/s],Peak Bandwidth [Byte/s]
MatrixMultiplication,Slang-Vulkan,FP32,NVIDIA RTX5080,matMul_slang_vulkan,,0,traced submission,GPU Trace of one queue submission (45.898 ms),0.0458984,DRAM,137438953472.0,5390360000.0,25.49717522985478,2994417092360.5176,57400000000000.0,959200000000.0
MatrixMultiplication,Vulkan,FP32,NVIDIA RTX5080,matMul_vulkan,,0,traced submission,GPU Trace of one queue submission (45.908 ms),0.045908,DRAM,137438953472.0,5432590000.0,25.298974056941532,2993790918184.1943,57400000000000.0,959200000000.0
Polyhedral,Vulkan,FP32,NVIDIA RTX5080,polyhedral_vulkan,,0,traced submission,GPU Trace of one queue submission (15.942 ms),0.0159422,DRAM,1847050000.0,32873200.0,56.18710682257888,115859166238.0349,57400000000000.0,959200000000.0
