Benchmark Problem,Paradigm,Description,Precision,Hardware,Problem Size,Iterations,Wall Clock Time,CPU Time,Kernel Time,Neighbor Search Time,Position Update Time,Velocity Update Time,Force Update Time,Time Unit
MatrixMultiplication,Kokkos,,32,AMD MI210,32.0,5138.0,136194.1479261763,136087.56286492795,26226.989684702217,,,,,ns
MatrixMultiplication,Kokkos,,32,AMD MI210,64.0,4576.0,154040.32649337215,153717.60052447554,39521.30026223776,,,,,ns
MatrixMultiplication,Kokkos,,32,AMD MI210,128.0,3820.0,187117.29137914462,186920.91701570677,61906.15209424084,,,,,ns
MatrixMultiplication,Kokkos,,32,AMD MI210,256.0,2478.0,285992.0952292467,285343.16868442297,104991.94632768362,,,,,ns
MatrixMultiplication,Kokkos,,32,AMD MI210,512.0,940.0,751853.2638873984,750072.595744681,314496.2095744681,,,,,ns
MatrixMultiplication,Kokkos,,32,AMD MI210,1024.0,87.0,8249212.575583965,8183959.459770119,1476597.7471264368,,,,,ns
MatrixMultiplication,Kokkos,,32,AMD MI210,2048.0,29.0,23944537.552748006,23836753.55172414,14232198.0,,,,,ns
MatrixMultiplication,Kokkos,,32,AMD MI210,4096.0,5.0,132156355.39963841,131854575.60000023,113451209.6,,,,,ns
MatrixMultiplication,Kokkos,,32,AMD MI210,8192.0,1.0,1003349790.9316792,999561444.0000011,919819641.0,,,,,ns
MatrixMultiplication,Kokkos,,32,AMD MI210,16384.0,1.0,7707713951.007463,7682438898.000008,7366190223.0,,,,,ns
MatrixMultiplication,OpenCL,,32,AMD MI210,32.0,15154.0,78770.4016771047,34107.02243632043,18508.020522634288,,,,,ns
MatrixMultiplication,OpenCL,,32,AMD MI210,64.0,19268.0,105462.82805654767,46369.22680091342,27189.320739049203,,,,,ns
MatrixMultiplication,OpenCL,,32,AMD MI210,128.0,11119.0,155367.41290249187,62493.81608058283,51301.64915909704,,,,,ns
MatrixMultiplication,OpenCL,,32,AMD MI210,256.0,7953.0,229765.93259409565,83812.1727649943,93981.77832264554,,,,,ns
MatrixMultiplication,OpenCL,,32,AMD MI210,512.0,1680.0,825520.1982267733,364680.97916666657,310083.88154761906,,,,,ns
MatrixMultiplication,OpenCL,,32,AMD MI210,1024.0,670.0,2872721.4583612755,1062151.4432835816,1440011.2104477612,,,,,ns
MatrixMultiplication,OpenCL,,32,AMD MI210,2048.0,340.0,18872890.229720403,2056198.4176470605,14775575.747058824,,,,,ns
MatrixMultiplication,OpenCL,,32,AMD MI210,4096.0,80.0,145408890.224644,8731593.687500006,122494017.975,,,,,ns
MatrixMultiplication,OpenCL,,32,AMD MI210,8192.0,10.0,1030594909.4006792,29142781.899999905,969055349.6,,,,,ns
MatrixMultiplication,OpenCL,,32,AMD MI210,16384.0,1.0,8000077184.988186,122101004.00000101,7769282407.0,,,,,ns
MatrixMultiplication,OpenMP,,32,AMD MI210,32.0,5832.0,120528.95593318311,120448.18912894376,119694.75240054869,,,,,ns
