Benchmark Problem,Paradigm,Description,Precision,Hardware,Problem Size,Iterations,Wall Clock Time,CPU Time,Kernel Time,Neighbor Search Time,Position Update Time,Velocity Update Time,Force Update Time,Time Unit
MatrixMultiplication,Boost,,32,NVIDIA GH200,8192.0,3.0,229000232.33766356,228990442.66666734,210707786.66666666,,,,,ns
MatrixMultiplication,Boost,,32,NVIDIA GH200,16384.0,1.0,1755486902.0823388,1755355936.000001,1685285472.0,,,,,ns
MatrixMultiplication,Cuda,Cublas,32,NVIDIA GH200,32.0,18132.0,38828.69264617777,38825.53540701522,10631.424652498003,,,,,ns
MatrixMultiplication,Cuda,Cublas,32,NVIDIA GH200,64.0,17271.0,40224.21880463578,40221.117016964854,9237.737240269025,,,,,ns
MatrixMultiplication,Cuda,Cublas,32,NVIDIA GH200,128.0,13424.0,51943.8407329606,51938.46483909414,8829.630526478975,,,,,ns
MatrixMultiplication,Cuda,Cublas,32,NVIDIA GH200,256.0,10079.0,69768.05358039596,69763.09554519302,16120.113508916467,,,,,ns
MatrixMultiplication,Cuda,Cublas,32,NVIDIA GH200,512.0,2517.0,277573.3873661035,277547.8363130708,32959.40242598206,,,,,ns
MatrixMultiplication,Cuda,Cublas,32,NVIDIA GH200,1024.0,688.0,1014986.4942514945,1014932.1860465109,76909.72088684523,,,,,ns
MatrixMultiplication,Cuda,Cublas,32,NVIDIA GH200,2048.0,230.0,3032131.2303978787,3031877.00869565,360415.025897648,,,,,ns
MatrixMultiplication,Cuda,Cublas,32,NVIDIA GH200,4096.0,56.0,12396953.661144445,12396388.000000013,2697675.4324776786,,,,,ns
MatrixMultiplication,Cuda,Cublas,32,NVIDIA GH200,8192.0,11.0,64437480.54814272,64427231.99999989,21448523.434725676,,,,,ns
MatrixMultiplication,Cuda,Cublas,32,NVIDIA GH200,16384.0,2.0,325292141.0021372,325252031.9999999,162624130.24902344,,,,,ns
MatrixMultiplication,Cuda,Naive,32,NVIDIA GH200,32.0,3353.0,202052.943043793,202018.50999105265,8273.436323745977,,,,,ns
MatrixMultiplication,Cuda,Naive,32,NVIDIA GH200,64.0,3392.0,205529.4823188682,205481.5754716986,10793.886818749532,,,,,ns
MatrixMultiplication,Cuda,Naive,32,NVIDIA GH200,128.0,3030.0,231234.72045320194,231204.06600660042,17066.14931891657,,,,,ns
MatrixMultiplication,Cuda,Naive,32,NVIDIA GH200,256.0,2634.0,265487.41687295696,265459.085801062,33777.36063395473,,,,,ns
MatrixMultiplication,Cuda,Naive,32,NVIDIA GH200,512.0,1946.0,361405.84071259655,361370.26104830333,66524.34907646856,,,,,ns
MatrixMultiplication,Cuda,Naive,32,NVIDIA GH200,1024.0,700.0,977879.6286056085,977744.7314285733,476913.4168965476,,,,,ns
MatrixMultiplication,Cuda,Naive,32,NVIDIA GH200,2048.0,124.0,5611351.112865152,5610505.2903225655,3578832.5013652924,,,,,ns
MatrixMultiplication,Cuda,Naive,32,NVIDIA GH200,4096.0,13.0,53829297.69201347,53820927.999999836,45900123.0093149,,,,,ns
MatrixMultiplication,Cuda,Naive,32,NVIDIA GH200,8192.0,2.0,415367192.4723312,415339920.00000095,381963241.57714844,,,,,ns
MatrixMultiplication,Cuda,Naive,32,NVIDIA GH200,16384.0,1.0,3156974407.960661,3156800512.000004,3033030029.296875,,,,,ns
MatrixMultiplication,Kokkos,,32,NVIDIA GH200,32.0,9942.0,70282.39248268002,70276.81834640917,9482.402735868034,,,,,ns
MatrixMultiplication,Kokkos,,32,NVIDIA GH200,64.0,8878.0,78719.6028358709,78713.22009461591,10630.782270781707,,,,,ns
MatrixMultiplication,Kokkos,,32,NVIDIA GH200,128.0,7603.0,92049.04274988294,92037.02538471654,13813.779560699724,,,,,ns
MatrixMultiplication,Kokkos,,32,NVIDIA GH200,256.0,3112.0,226470.88236602835,226429.95372750642,22022.633676092544,,,,,ns
MatrixMultiplication,Kokkos,,32,NVIDIA GH200,512.0,1374.0,502446.796162138,502408.593886463,67697.62663755458,,,,,ns
MatrixMultiplication,Kokkos,,32,NVIDIA GH200,1024.0,476.0,1467243.6721587726,1467060.0336134462,421331.16596638656,,,,,ns
MatrixMultiplication,Kokkos,,32,NVIDIA GH200,2048.0,117.0,5958540.6158406,5958459.076923079,3150073.452991453,,,,,ns
MatrixMultiplication,Kokkos,,32,NVIDIA GH200,4096.0,20.0,35034973.750589415,35032753.59999995,25065571.1,,,,,ns
MatrixMultiplication,Kokkos,,32,NVIDIA GH200,8192.0,3.0,258591420.9873105,258572960.0000004,213791317.0,,,,,ns
MatrixMultiplication,Kokkos,,32,NVIDIA GH200,16384.0,1.0,1890185723.8961384,1890035231.9999988,1722775055.0,,,,,ns
MatrixMultiplication,OpenCL,,32,NVIDIA GH200,32.0,5997.0,123410.3180017718,123394.81207270302,5858.230448557612,,,,,ns
MatrixMultiplication,OpenCL,,32,NVIDIA GH200,64.0,5377.0,122453.56182863783,122442.49209596425,6772.06769574112,,,,,ns
MatrixMultiplication,OpenCL,,32,NVIDIA GH200,128.0,4881.0,144738.98933990137,144676.4843269821,9207.549272690023,,,,,ns
MatrixMultiplication,OpenCL,,32,NVIDIA GH200,256.0,3925.0,169841.83415414608,169827.11439490464,14796.40050955414,,,,,ns
MatrixMultiplication,OpenCL,,32,NVIDIA GH200,512.0,1754.0,415699.32722332573,415657.4686431018,60977.51425313569,,,,,ns
MatrixMultiplication,OpenCL,,32,NVIDIA GH200,1024.0,557.0,1348212.3625897793,1347668.3949730685,420676.9982046679,,,,,ns
MatrixMultiplication,OpenCL,,32,NVIDIA GH200,2048.0,98.0,6732423.061609497,6731689.469387751,3159532.0816326533,,,,,ns
MatrixMultiplication,OpenCL,,32,NVIDIA GH200,4096.0,17.0,41421221.70613969,41415546.352941155,25515853.17647059,,,,,ns
MatrixMultiplication,OpenCL,,32,NVIDIA GH200,8192.0,3.0,278790163.6911556,278772554.6666664,210598400.0,,,,,ns
MatrixMultiplication,OpenCL,,32,NVIDIA GH200,16384.0,1.0,1942696981.9469378,1942525471.9999998,1684458208.0,,,,,ns
MatrixMultiplication,OpenMP,,32,NVIDIA GH200,32.0,20011.0,81052.11198710813,34937.5907251012,79666.92039378342,,,,,ns
MatrixMultiplication,OpenMP,,32,NVIDIA GH200,64.0,15751.0,95517.97638566312,44476.00380928197,92536.38632467779,,,,,ns
MatrixMultiplication,OpenMP,,32,NVIDIA GH200,128.0,13142.0,170273.56330911384,53863.148987977474,163036.77530056308,,,,,ns
MatrixMultiplication,OpenMP,,32,NVIDIA GH200,256.0,10186.0,255525.75976232893,67417.48439033968,247288.73227959944,,,,,ns
