Benchmark Problem,Paradigm,Description,Precision,Hardware,Problem Size,Iterations,Wall Clock Time,CPU Time,Kernel Time,Neighbor Search Time,Position Update Time,Velocity Update Time,Force Update Time,Time Unit
MatrixMultiplication,OpenACC,,32,NVIDIA RTX3080,32.0,17279.0,40390.49001199427,40389.14873545923,39799.11956710458,,,,,ns
MatrixMultiplication,OpenACC,,32,NVIDIA RTX3080,64.0,15595.0,44814.26022144207,44811.67951266431,43436.608207758894,,,,,ns
MatrixMultiplication,OpenACC,,32,NVIDIA RTX3080,128.0,10320.0,67379.67954439567,67376.89089147287,62584.66027131783,,,,,ns
MatrixMultiplication,OpenACC,,32,NVIDIA RTX3080,256.0,4325.0,160343.7630147431,160338.63722543351,142652.625433526,,,,,ns
MatrixMultiplication,OpenACC,,32,NVIDIA RTX3080,512.0,1033.0,667823.9807544234,667800.0813165546,594556.9332042595,,,,,ns
MatrixMultiplication,OpenACC,,32,NVIDIA RTX3080,1024.0,81.0,8561081.75314687,8558813.567901231,3127520.296296296,,,,,ns
MatrixMultiplication,OpenACC,,32,NVIDIA RTX3080,2048.0,12.0,56043645.42523399,56034409.50000005,31880370.0,,,,,ns
MatrixMultiplication,OpenACC,,32,NVIDIA RTX3080,4096.0,2.0,476421904.0516764,476411390.99999917,380058377.0,,,,,ns
MatrixMultiplication,OpenACC,,32,NVIDIA RTX3080,8192.0,1.0,3523181878.0303,3522957464.000001,3144230658.0,,,,,ns
MatrixMultiplication,OpenACC,,32,NVIDIA RTX3080,16384.0,1.0,26650154188.973827,26648516953.00001,25130193957.0,,,,,ns
MatrixMultiplication,AdaptiveCpp,Naive,32,NVIDIA RTX3080,32.0,1.0,3370175988.4133935,166847700.00000003,3369496576.0,,,,,ns
MatrixMultiplication,AdaptiveCpp,Naive,32,NVIDIA RTX3080,64.0,1281.0,638180.2320491979,405213.7712724434,308530.2357533177,,,,,ns
MatrixMultiplication,AdaptiveCpp,Naive,32,NVIDIA RTX3080,128.0,1122.0,608896.3004224228,515099.83333333343,460643.2798573975,,,,,ns
MatrixMultiplication,AdaptiveCpp,Naive,32,NVIDIA RTX3080,256.0,699.0,1016306.9773300182,866931.7753934192,699386.4148783977,,,,,ns
MatrixMultiplication,AdaptiveCpp,Naive,32,NVIDIA RTX3080,512.0,318.0,2397219.1496418333,2068534.924528303,1509459.2201257863,,,,,ns
