Benchmark Problem,Paradigm,Precision,Hardware,Executable,Kernel ID,Kernel,Kernel Signature,Grid Size,Block Size,Duration,Memory Level,FLOP,Memory Traffic,Arithmetic Intensity,Performance,Peak Performance,Peak Bandwidth,dram__bytes.sum,dram__bytes.sum.peak_sustained,dram__cycles_elapsed.avg.per_second,gpu__dram_throughput.avg.pct_of_peak_sustained_elapsed,gpu__time_duration.sum,l1tex__cycles_elapsed.avg.per_second,l1tex__t_bytes.sum,l1tex__t_bytes.sum.peak_sustained,launch__block_size,launch__grid_size,launch__waves_per_multiprocessor,lts__cycles_elapsed.avg.per_second,lts__t_bytes.sum,lts__t_bytes.sum.peak_sustained,sm__cycles_elapsed.avg,sm__cycles_elapsed.avg.per_second,sm__inst_executed_pipe_tensor.sum,sm__sass_thread_inst_executed_op_dadd_pred_on.sum,sm__sass_thread_inst_executed_op_dfma_pred_on.sum,sm__sass_thread_inst_executed_op_dfma_pred_on.sum.peak_sustained,sm__sass_thread_inst_executed_op_dmul_pred_on.sum,sm__sass_thread_inst_executed_op_fadd_pred_on.sum,sm__sass_thread_inst_executed_op_ffma_pred_on.sum,sm__sass_thread_inst_executed_op_ffma_pred_on.sum.peak_sustained,sm__sass_thread_inst_executed_op_fmul_pred_on.sum,sm__sass_thread_inst_executed_op_hadd_pred_on.sum,sm__sass_thread_inst_executed_op_hfma_pred_on.sum,sm__sass_thread_inst_executed_op_hfma_pred_on.sum.peak_sustained,sm__sass_thread_inst_executed_op_hmul_pred_on.sum,sm__throughput.avg.pct_of_peak_sustained_elapsed,FLOP FP32,FLOP FP64,FLOP FP16
Polyhedral,Cuda,FP32,NVIDIA RTX5080,polyhedral_cuda,3,cub::DeviceReduceSingleTileKernel,"void cub::DeviceReduceSingleTileKernel<cub::policy_selector_from_types<GravityModelResultCuda, unsigned int, cuda::plus<GravityModelResultCuda>>, GravityModelResultCuda *, GravityModelResultCuda *, int, cuda::plus<GravityModelResultCuda>, GravityModelResultCuda, GravityModelResultCuda, cuda::identity>(T2, T3, T4, T5, T6, T8)","(1, 1, 1)","(256, 1, 1)",2.5920000000000003e-06,DRAM,2300.0,21248.0,0.10824548192771084,887345679.0123456,56445629629562.875,951308641975.04,21248.0,64.0,14864197530.86,0.86,2592.0,2624889770.72,5664.0,43008.0,256.0,1.0,0.0,2348379629.63,158496.0,2048.0,6803.71,2624889770.72,0.0,0.0,0.0,168.0,0.0,2300.0,0.0,10752.0,0.0,0.0,0.0,5376.0,0.0,0.16,2300.0,0.0,0.0
Polyhedral,Hip,FP32,NVIDIA RTX5080,polyhedral_hip,0,run_init,"run_init(const float3 *, const int3 *, float3 *, float3 *, float3 *, int)","(58, 1, 1)","(256, 1, 1)",5.792000000000001e-06,DRAM,1784024.0,300288.0,5.94104326513214,308015193370.1657,57274872928143.36,954696132596.48,300288.0,64.0,14917127071.82,5.43,5792.0,2663452052.09,11523200.0,43008.0,256.0,58.0,0.12,2389848066.3,7066880.0,2048.0,15426.71,2663452052.09,0.0,0.0,0.0,168.0,0.0,191672.0,530784.0,10752.0,530784.0,0.0,0.0,5376.0,0.0,2.42,1784024.0,0.0,0.0
Polyhedral,Hip,FP32,NVIDIA RTX5080,polyhedral_hip,1,run_eval,"run_eval(const float3 *, const int3 *, float3 *, float3 *, float3 *, GravityModelResultHip *, int, float, float, float)","(58, 1, 1)","(256, 1, 1)",8.448000000000001e-06,DRAM,16347798.0,1561600.0,10.468620645491804,1935108664772.727,57218909090918.4,955151515151.36,1561600.0,64.0,14924242424.24,19.35,8448.0,2660849567.1,12938624.0,43008.0,256.0,58.0,0.23,2375710227.27,2680288.0,2048.0,22478.86,2660849567.1,0.0,0.0,0.0,168.0,0.0,1530078.0,5927088.0,10752.0,2963544.0,0.0,176928.0,5376.0,0.0,25.39,16347798.0,0.0,353856.0
Polyhedral,Hip,FP32,NVIDIA RTX5080,polyhedral_hip,2,cub::DeviceReduceKernel,"void cub::DeviceReduceKernel<cub::policy_selector_from_types<GravityModelResultHip, unsigned int, cuda::plus<GravityModelResultHip>>, thrust::device_ptr<GravityModelResultHip>, unsigned int, cuda::plus<GravityModelResultHip>, GravityModelResultHip, cuda::identity>(T2, T5 *, T3, cub::GridEvenShare<T3>, T4, T6)","(58, 1, 1)","(256, 1, 1)",2.944e-06,DRAM,598320.0,735488.0,0.8135006961364427,203233695652.17392,56691130434785.28,951652173912.96,735488.0,64.0,14869565217.39,26.25,2944.0,2636306288.82,1420992.0,43008.0,256.0,58.0,0.14,2373301630.43,910592.0,2048.0,7761.29,2636306288.82,0.0,0.0,0.0,168.0,0.0,598320.0,0.0,10752.0,0.0,0.0,0.0,5376.0,0.0,8.68,598320.0,0.0,0.0
Polyhedral,Hip,FP32,NVIDIA RTX5080,polyhedral_hip,3,cub::DeviceReduceSingleTileKernel,"void cub::DeviceReduceSingleTileKernel<cub::policy_selector_from_types<GravityModelResultHip, unsigned int, cuda::plus<GravityModelResultHip>>, GravityModelResultHip *, GravityModelResultHip *, int, cuda::plus<GravityModelResultHip>, GravityModelResultHip, GravityModelResultHip, cuda::identity>(T2, T3, T4, T5, T6, T8)","(1, 1, 1)","(256, 1, 1)",2.4960000000000003e-06,DRAM,2300.0,28672.0,0.08021763392857142,921474358.9743588,56412307692410.875,941948717948.8,28672.0,64.0,14717948717.95,1.22,2496.0,2623340201.47,5664.0,43008.0,256.0,1.0,0.0,2348157051.28,159968.0,2048.0,6547.86,2623340201.47,0.0,0.0,0.0,168.0,0.0,2300.0,0.0,10752.0,0.0,0.0,0.0,5376.0,0.0,0.17,2300.0,0.0,0.0
Polyhedral,Kokkos,FP32,NVIDIA RTX5080,polyhedral_kokkos,0,Kokkos::::query_cuda_kernel_arch,Kokkos::<unnamed>::query_cuda_kernel_arch(int *),"(1, 1, 1)","(1, 1, 1)",1.568e-06,DRAM,0.0,2560.0,0.0,0.0,55993469387735.05,919510204081.92,2560.0,64.0,14367346938.78,0.18,1568.0,2603862973.76,32.0,43008.0,1.0,1.0,0.0,2329719387.76,65824.0,2048.0,4082.86,2603862973.76,0.0,0.0,0.0,168.0,0.0,0.0,0.0,10752.0,0.0,0.0,1.0,5376.0,0.0,0.0,0.0,0.0,2.0
Polyhedral,Kokkos,FP32,NVIDIA RTX5080,polyhedral_kokkos,1,desul::::init_lock_arrays_cuda_kernel,desul::<unnamed>::init_lock_arrays_cuda_kernel(),"(512, 1, 1)","(256, 1, 1)",1.9872000000000002e-05,DRAM,0.0,70656.0,0.0,0.0,57316946859970.555,956805152979.2,70656.0,64.0,14950080515.3,0.37,19872.0,2665408615.14,1048576.0,43008.0,256.0,512.0,1.02,2382447665.06,692544.0,2048.0,52967.0,2665408615.14,0.0,0.0,0.0,168.0,0.0,0.0,0.0,10752.0,0.0,0.0,0.0,5376.0,0.0,1.11,0.0,0.0,0.0
Polyhedral,Kokkos,FP32,NVIDIA RTX5080,polyhedral_kokkos,2,Kokkos::cuda_parallel_launch_local_memory,"void Kokkos::cuda_parallel_launch_local_memory<Kokkos::ParallelFor<Kokkos::ViewValueFunctor<Kokkos::Device<Kokkos::Cuda, Kokkos::CudaSpace>, Array3Base<float>>, Kokkos::RangePolicy<Kokkos::Cuda, Kokkos::IndexType<long>, Kokkos::ViewValueFunctor<Kokkos::Device<Kokkos::Cuda, Kokkos::CudaSpace>, Array3Base<float>>::ConstructTag>, Kokkos::Cuda>>(T1)","(190, 1, 1)","(1, 128, 1)",1.728e-06,DRAM,0.0,5632.0,0.0,0.0,56519111111178.24,938666666666.88,5632.0,64.0,14666666666.67,0.35,1728.0,2628306878.31,872480.0,43008.0,128.0,190.0,0.19,2348958333.33,365152.0,2048.0,4541.71,2628306878.31,0.0,0.0,0.0,168.0,0.0,0.0,0.0,10752.0,0.0,0.0,24320.0,5376.0,0.0,2.78,0.0,0.0,48640.0
Polyhedral,Kokkos,FP32,NVIDIA RTX5080,polyhedral_kokkos,3,Kokkos::cuda_parallel_launch_local_memory,"void Kokkos::cuda_parallel_launch_local_memory<Kokkos::ParallelFor<Kokkos::ViewValueFunctor<Kokkos::Device<Kokkos::Cuda, Kokkos::CudaSpace>, Array3Base<unsigned long>>, Kokkos::RangePolicy<Kokkos::Cuda, Kokkos::IndexType<long>, Kokkos::ViewValueFunctor<Kokkos::Device<Kokkos::Cuda, Kokkos::CudaSpace>, Array3Base<unsigned long>>::ConstructTag>, Kokkos::Cuda>>(T1)","(116, 1, 1)","(1, 128, 1)",1.824e-06,DRAM,0.0,16128.0,0.0,0.0,55833263157934.08,934175438596.48,16128.0,64.0,14596491228.07,0.95,1824.0,2596412907.27,1061568.0,43008.0,128.0,116.0,0.12,2321271929.82,449824.0,2048.0,4735.86,2596412907.27,0.0,0.0,0.0,168.0,0.0,0.0,0.0,10752.0,0.0,0.0,14848.0,5376.0,0.0,1.63,0.0,0.0,29696.0
Polyhedral,Kokkos,FP32,NVIDIA RTX5080,polyhedral_kokkos,4,Kokkos::cuda_parallel_launch_local_memory,"void Kokkos::cuda_parallel_launch_local_memory<Kokkos::ParallelFor<Kokkos::ViewValueFunctor<Kokkos::Device<Kokkos::Cuda, Kokkos::CudaSpace>, Array3Base<float>>, Kokkos::RangePolicy<Kokkos::Cuda, Kokkos::IndexType<long>, Kokkos::ViewValueFunctor<Kokkos::Device<Kokkos::Cuda, Kokkos::CudaSpace>, Array3Base<float>>::ConstructTag>, Kokkos::Cuda>>(T1)","(116, 1, 1)","(1, 128, 1)",1.472e-06,DRAM,0.0,5120.0,0.0,0.0,55554782608711.68,934956521738.88,5120.0,64.0,14608695652.17,0.37,1472.0,2583462732.92,530784.0,43008.0,128.0,116.0,0.12,2313179347.83,252320.0,2048.0,3802.86,2583462732.92,0.0,0.0,0.0,168.0,0.0,0.0,0.0,10752.0,0.0,0.0,14848.0,5376.0,0.0,2.03,0.0,0.0,29696.0
