file,dialect,loc,sloc,comment_lines,blank_lines,distinct_operators,distinct_operands,total_operators,total_operands,vocabulary,length,calculated_length,volume,difficulty,effort,time_seconds,delivered_bugs,program_level,language_level,dialect_distinct_operators,dialect_total_operators,dialect_distinct_operands,dialect_total_operands
src/nBodySimulation/vulkan/naive/Impl_Vulkan.h,cpp,79,30,30,19,25,43,117,87,68,204,349.4257891965583,1241.8424196150693,25.290697674418606,31407.06119375321,1744.8367329862895,0.41394747320502306,0.03954022988505747,1.94153342010264,0,0,0,0
src/nBodySimulation/vulkan/naive/Push_Constants.h,cpp,19,7,8,4,6,6,8,6,12,14,31.019550008653873,50.18947501009619,3.0,150.56842503028855,8.364912501682698,0.016729825003365395,0.3333333333333333,5.576608334455131,0,0,0,0
src/nBodySimulation/vulkan/naive/main.cpp,cpp,22,18,0,4,17,27,55,43,44,98,197.8688308596694,535.0242986264551,13.537037037037036,7242.643746221086,402.36909701228257,0.17834143287548504,0.07387140902872777,2.9196196107027705,0,0,0,0
src/nBodySimulation/vulkan/naive/shaders/KernelForce.comp,glsl,49,38,0,11,38,33,142,80,71,222,365.88625144968523,1365.2438605300395,46.06060606060606,62883.95963653515,3493.553313140842,0.4550812868433465,0.021710526315789472,0.6435035336379903,14,24,0,0
src/nBodySimulation/vulkan/naive/shaders/KernelPosition.comp,glsl,46,36,0,10,31,34,143,73,65,216,326.55382222450464,1300.831447614146,33.279411764705884,43290.9053816296,2405.050298979422,0.4336104825380487,0.030048608042421564,1.174545228592888,14,35,0,0
src/nBodySimulation/vulkan/naive/shaders/KernelVelocity.comp,glsl,36,27,0,9,31,26,100,46,57,146,275.7915182936615,851.6019420680523,27.423076923076923,23353.545565173896,1297.4191980652165,0.2838673140226841,0.0364656381486676,1.1324115216270136,14,28,0,0
src/nBodySimulation/vulkan/verlet_lists/Impl_Vulkan.cpp,cpp,389,300,8,81,45,171,1654,1191,216,2845,1515.586169380324,22062.654943655067,156.71052631578948,3457450.26814384,192080.57045243555,7.354218314551689,0.006381192275398824,0.898382811997846,0,0,0,0
src/nBodySimulation/vulkan/verlet_lists/Impl_Vulkan.h,cpp,111,37,51,23,25,55,174,134,80,308,434.0711889882244,1947.1538532253078,30.454545454545457,59299.68553004347,3294.426973891304,0.649051284408436,0.03283582089552239,2.0994040208533056,0,0,0,0
src/nBodySimulation/vulkan/verlet_lists/Push_Constants.h,cpp,29,15,8,6,7,9,20,14,16,34,48.18080946738404,136.0,5.444444444444445,740.4444444444445,41.135802469135804,0.04533333333333334,0.18367346938775508,4.5880882965431065,0,0,0,0
src/nBodySimulation/vulkan/verlet_lists/main.cpp,cpp,21,18,0,3,16,28,56,46,44,102,198.6059378176129,556.8620251010043,13.142857142857142,7318.758044184628,406.5976691213682,0.1856206750336681,0.07608695652173914,3.223799530948631,0,0,0,0
src/nBodySimulation/vulkan/verlet_lists/shaders/KernelBlellochScan.comp,glsl,75,51,12,12,39,24,181,125,63,306,316.1697865529354,1829.0476565909746,101.5625,185762.65262252087,10320.147367917825,0.6096825521969915,0.009846153846153846,0.1773202177845357,15,24,0,0
src/nBodySimulation/vulkan/verlet_lists/shaders/KernelBlockSum.comp,glsl,25,19,0,6,26,16,65,30,42,95,186.21143267166838,512.2701551639823,24.375,12486.585032122068,693.699168451226,0.17075671838799408,0.041025641025641026,0.8622035484679781,13,19,0,0
src/nBodySimulation/vulkan/verlet_lists/shaders/KernelCountNeighbors.comp,glsl,39,29,2,8,35,23,105,58,58,163,283.56683058238514,954.8509022057942,44.130434782608695,42137.98546690788,2340.9991926059934,0.31828363406859805,0.022660098522167486,0.49029690336272674,14,21,0,0
src/nBodySimulation/vulkan/verlet_lists/shaders/KernelForce.comp,glsl,55,41,0,14,36,42,169,98,78,267,412.59463180863116,1678.2023924362204,42.0,70484.50048232125,3915.8055823511804,0.5594007974787402,0.023809523809523808,0.9513619004740477,14,34,0,0
src/nBodySimulation/vulkan/verlet_lists/shaders/KernelPosition.comp,glsl,48,36,0,12,31,34,143,73,65,216,326.55382222450464,1300.831447614146,33.279411764705884,43290.9053816296,2405.050298979422,0.4336104825380487,0.030048608042421564,1.174545228592888,14,35,0,0
src/nBodySimulation/vulkan/verlet_lists/shaders/KernelVelocity.comp,glsl,35,26,0,9,31,26,100,46,57,146,275.7915182936615,851.6019420680523,27.423076923076923,23353.545565173896,1297.4191980652165,0.2838673140226841,0.0364656381486676,1.1324115216270136,14,28,0,0
src/nBodySimulation/vulkan/verlet_lists/shaders/KernelVerlet.comp,glsl,42,32,2,8,37,27,128,70,64,198,321.1317370866848,1188.0,47.96296296296296,56980.0,3165.5555555555557,0.396,0.02084942084942085,0.5164216395104426,14,26,0,0
src/polyhedralGravity/PolyhedralGravityDefinitions.h,cuda,395,319,15,61,71,201,1249,949,272,2198,1974.493435411797,17776.243325068244,167.60945273631842,2979466.4154223218,165525.91196790675,5.925414441689415,0.005966250612208551,0.6327657592666045,7,17,0,0
src/polyhedralGravity/acpp/Impl_AdaptiveCpp.cpp,sycl,405,324,9,72,67,171,1577,1193,238,2770,1674.8807558061594,21868.645204363005,233.71637426900585,5111060.467339004,283947.8037410558,7.2895484014543355,0.004278690370444508,0.4003534709248829,10,23,0,0
src/polyhedralGravity/alpaka/Impl_Alpaka.cpp,alpaka,489,367,53,69,87,177,1703,1196,264,2899,1882.30226650353,23320.69855202016,293.93220338983053,6854704.309985316,380816.9061102953,7.77356618400672,0.0034021450813055006,0.26992755117117156,24,67,0,0
src/polyhedralGravity/boost/Impl_Boost.cpp,opencl+boost_compute,211,161,9,41,65,109,775,497,174,1272,1129.1859992475345,9467.424126719581,148.1880733944954,1402959.341347138,77942.18563039655,3.1558080422398604,0.00674818139606872,0.4311271069065292,21,53,0,0
